timestamp,Team1,Team2,Conf1,Conf2
-1427760000,Boston University,Maine,FBS Independents,
-1427760000,Columbia,St. Lawrence,FBS Independents,
-1427760000,Pennsylvania,Franklin & Marshall,FBS Independents,
-1427760000,Penn State,NC State,FBS Independents,Southern
-1427760000,Whitman,Oregon State,FBS Independents,Pacific
-1427760000,Kansas,Oklahoma State,Missouri Valley,Southwest
-1427760000,Notre Dame,Lombard,FBS Independents,
-1427760000,Northwestern,South Dakota,Western,
-1427760000,Lenoir-Rhyne,Newberry,,FBS Independents
-1427760000,Vanderbilt,Birmingham-Southern,Southern,FBS Independents
-1427760000,Washington & Jefferson,Bethany (WV),FBS Independents,
-1427760000,Washington,Willamette,Pacific,
-1427760000,Virginia Tech,Hampden-Sydney,Southern,
-1427760000,Tulane,Mississippi College,Southern,FBS Independents
-1427760000,Valparaiso,Centre College Kentucky,,FBS Independents
-1427760000,TCU,Daniel Baker,Southwest,
-1427241600,Kansas State,Emporia State University,Missouri Valley,
-1427241600,SMU,Austin,Southwest,
-1427155200,Illinois,Butler,Western,
-1427155200,Mississippi State,Ouachita,Southern,
-1427155200,South Carolina,NC State,Southern,Southern
-1427155200,Tulane,Louisiana Tech,Southern,
-1427155200,Washington & Jefferson,Grove City,FBS Independents,
-1427155200,TCU,Oklahoma State,Southwest,Southwest
-1427155200,Washington and Lee,Wake Forest,Southern,FBS Independents
-1427155200,Minnesota,Haskell,Western,
-1427155200,Ole Miss,Rhodes College,Southern,
-1427155200,Davidson,Lenoir-Rhyne,FBS Independents,
-1427155200,Dartmouth,Vermont,FBS Independents,
-1427155200,Denver,Wyoming,Rocky Mountain,Rocky Mountain
-1427155200,Washington University (St. Louis),Grinnell,Missouri Valley,Missouri Valley
-1427155200,Kansas,Iowa State,Missouri Valley,Missouri Valley
-1427155200,Furman,Mercer,FBS Independents,FBS Independents
-1427155200,Montana State,BYU,Rocky Mountain,Rocky Mountain
-1427155200,Newberry,Erskine,FBS Independents,FBS Independents
-1427155200,Kentucky,Georgetown (Kentucky),Southern,
-1427155200,Lehigh,Princeton,,FBS Independents
-1427155200,Holy Cross,Boston University,,FBS Independents
-1427155200,Vanderbilt,Quantico Marines,Southern,
-1427155200,Syracuse,William & Mary,FBS Independents,FBS Independents
-1427155200,North Carolina,Duke,Southern,FBS Independents
-1427155200,Utah,Colorado College,Rocky Mountain,Rocky Mountain
-1427155200,Colorado State,Colorado School Of Mines,Rocky Mountain,Rocky Mountain
-1427155200,Florida,Georgia Tech,Southern,Southern
-1427155200,Idaho,Montana,Pacific,Pacific
-1427155200,Birmingham-Southern,Millsaps,FBS Independents,FBS Independents
-1427155200,Auburn,Virginia Tech,Southern,Southern
-1427155200,Missouri,Missouri Wesleyan,Missouri Valley,
-1427155200,Yale,Georgia,FBS Independents,Southern
-1427155200,Pittsburgh,West Virginia,FBS Independents,FBS Independents
-1427155200,Penn State,Gettysburg,FBS Independents,
-1427155200,Pennsylvania,Swarthmore,FBS Independents,
-1427155200,Purdue,Rose-Hulman,Western,
-1427155200,Northwestern,Cincinnati,Western,
-1427155200,Notre Dame,Wabash College,FBS Independents,
-1427155200,Oregon,Pacific (Oregon),Pacific,
-1427155200,Oregon State,Multnomah A.C.,Pacific,
-1427155200,Tennessee,Maryville College (TN),Southern,
-1427155200,Stanford,Olympic Club,Pacific,
-1427155200,USC,Arizona,Pacific,
-1427155200,Rice,Southwestern University,Southwest,
-1427155200,Cornell,Williams,FBS Independents,
-1427155200,Texas,Howard Payne,Southwest,
-1427155200,The Citadel,Oglethorpe,FBS Independents,FBS Independents
-1427155200,Michigan State,Michigan,,Western
-1427155200,Indiana,LSU,Western,Southern
-1427155200,Chattanooga,Samford,FBS Independents,FBS Independents
-1427155200,Oklahoma,Nebraska,Missouri Valley,Missouri Valley
-1427155200,Ohio State,Iowa,Western,Western
-1427155200,Maryland,Richmond,Southern,FBS Independents
-1427155200,Navy,Marquette,FBS Independents,
-1427155200,Virginia,Randolph-Macon,Southern,
-1427155200,VMI,Roanoke,Southern,
-1427155200,Columbia,Wesleyan (CT),FBS Independents,
-1427155200,Coe College,Wisconsin,,Western
-1427155200,Colorado,Regis (CO),Rocky Mountain,FBS Independents
-1427155200,Colgate,Clarkson,FBS Independents,
-1427155200,Washington State,Gonzaga,Pacific,FBS Independents
-1427155200,Drake,Knox College,Missouri Valley,
-1427155200,Texas A&M,Sewanee,Southwest,Southern
-1427155200,Clemson,Presbyterian,Southern,FBS Independents
-1427155200,Washington,Whitman,Pacific,FBS Independents
-1427155200,Chicago,Brown,Western,FBS Independents
-1427155200,Baylor,Central Oklahoma,Southwest,
-1427155200,Carnegie Mellon,Toledo,FBS Independents,
-1427155200,California,Pomona Pitzer,Pacific,
-1427155200,Army,Detroit Mercy,FBS Independents,
-1427155200,Arkansas,Hendrix College,Southwest,
-1427155200,Alabama,Mississippi College,Southern,FBS Independents
-1427155200,Harvard,Middlebury,FBS Independents,
-1426723200,NC State,North Carolina,Southern,Southern
-1426636800,Idaho,Washington State,Pacific,Pacific
-1426636800,South Carolina,Presbyterian,Southern,FBS Independents
-1426636800,Millsaps,Mississippi College,FBS Independents,FBS Independents
-1426636800,SMU,Texas,Southwest,Southwest
-1426636800,Wofford,Oglethorpe,FBS Independents,FBS Independents
-1426550400,California,Olympic Club,Pacific,
-1426550400,Fort Benning,Birmingham-Southern,,FBS Independents
-1426550400,Centre College Kentucky,Transylvania,FBS Independents,
-1426550400,Georgia,Furman,Southern,FBS Independents
-1426550400,Auburn,Samford,Southern,FBS Independents
-1426550400,Mississippi State,Ole Miss,Southern,Southern
-1426550400,Minnesota,Wisconsin,Western,Western
-1426550400,Richmond,Duke,FBS Independents,FBS Independents
-1426550400,Colorado School Of Mines,Denver,Rocky Mountain,Rocky Mountain
-1426550400,Dartmouth,Yale,FBS Independents,FBS Independents
-1426550400,Colorado College,Colorado,Rocky Mountain,Rocky Mountain
-1426550400,Chicago,Indiana,Western,Western
-1426550400,Alabama,Sewanee,Southern,Southern
-1426550400,Randolph-Macon,William & Mary,,FBS Independents
-1426550400,West Virginia,Geneva,FBS Independents,
-1426550400,Florida,Wake Forest,Southern,FBS Independents
-1426550400,Western Colorado,Regis (CO),FBS Independents,FBS Independents
-1426550400,Washington,Montana,Pacific,Pacific
-1426550400,Tulane,Vanderbilt,Southern,Southern
-1426550400,Stanford,Oregon,Pacific,Pacific
-1426550400,Princeton,Navy,FBS Independents,FBS Independents
-1426550400,Iowa State,Missouri,Missouri Valley,Missouri Valley
-1426550400,Mercer,Chattanooga,FBS Independents,FBS Independents
-1426550400,Kansas State,Kansas,Missouri Valley,Missouri Valley
-1426550400,Illinois,Michigan,Western,Western
-1426550400,Drake,Grinnell,Missouri Valley,Missouri Valley
-1426550400,Brown,Boston University,FBS Independents,FBS Independents
-1426550400,Baylor,Arkansas,Southwest,Southwest
-1426550400,Wyoming,Northern Colorado,Rocky Mountain,Rocky Mountain
-1426550400,Kentucky,Washington and Lee,Southern,Southern
-1426550400,Carnegie Mellon,Washington & Jefferson,FBS Independents,FBS Independents
-1426550400,Virginia Tech,Maryland,Southern,Southern
-1426550400,Virginia,VMI,Southern,Southern
-1426550400,Oregon State,USC,Pacific,Pacific
-1426550400,Northwestern,Purdue,Western,Western
-1426550400,Army,Notre Dame,FBS Independents,FBS Independents
-1426550400,Newberry,The Citadel,FBS Independents,FBS Independents
-1426550400,Cornell,Rutgers,FBS Independents,
-1426550400,Johns Hopkins University,Pittsburgh,,FBS Independents
-1426550400,Pennsylvania,Columbia,FBS Independents,FBS Independents
-1426550400,Oklahoma State,Missouri-Rolla,Southwest,
-1426550400,Ohio State,Ohio Wesleyan,Western,
-1426550400,Nebraska,Colgate,Missouri Valley,FBS Independents
-1426550400,Montana State,Centerville (Butte),Rocky Mountain,
-1426550400,Rice,LSU,Southwest,Southern
-1426550400,Iowa,Lawrence University,Western,
-1426550400,Harvard,Holy Cross,FBS Independents,
-1426550400,Utah State,Montana Tech,Rocky Mountain,
-1426550400,Utah,Arizona,Rocky Mountain,
-1426550400,Hardin-Simmons,TCU,,Southwest
-1426550400,Texas A&M,Arkansas Tech,Southwest,
-1426550400,Tennessee,Carson-Newman College,Southern,
-1426550400,Syracuse,Boston College,FBS Independents,
-1426550400,Georgia Tech,Penn State,Southern,FBS Independents
-1426204800,Furman,Davidson,FBS Independents,FBS Independents
-1426118400,South Carolina,Clemson,Southern,Southern
-1426032000,Hendrix College,Millsaps,,FBS Independents
-1425945600,Penn State,Syracuse,FBS Independents,FBS Independents
-1425945600,USC,Nevada,Pacific,
-1425945600,Pennsylvania,Virginia,FBS Independents,Southern
-1425945600,Lynchburg,Wake Forest,,FBS Independents
-1425945600,Missouri-Rolla,Washington University (St. Louis),,Missouri Valley
-1425945600,Navy,West Virginia Wesleyan,FBS Independents,
-1425945600,Richmond,Randolph-Macon,FBS Independents,
-1425945600,Mercer,Samford,FBS Independents,FBS Independents
-1425945600,Stanford,Idaho,Pacific,Pacific
-1425945600,Princeton,Notre Dame,FBS Independents,FBS Independents
-1425945600,TCU,Rice,Southwest,Southwest
-1425945600,Missouri,Kansas State,Missouri Valley,Missouri Valley
-1425945600,Mississippi State,Tennessee,Southern,Southern
-1425945600,Iowa,Minnesota,Western,Western
-1425945600,Kansas,Nebraska,Missouri Valley,Missouri Valley
-1425945600,Georgia Tech,Alabama,Southern,Southern
-1425945600,Wofford,Erskine,FBS Independents,FBS Independents
-1425945600,West Virginia,Centre College Kentucky,FBS Independents,FBS Independents
-1425945600,Washington and Lee,Virginia Tech,Southern,Southern
-1425945600,Washington,Oregon State,Pacific,Pacific
-1425945600,Utah,BYU,Rocky Mountain,Rocky Mountain
-1425945600,Texas A&M,SMU,Southwest,Southwest
-1425945600,Tulane,Spring Hill,Southern,
-1425945600,Multnomah A.C.,Gonzaga,,FBS Independents
-1425945600,Florida,Texas,Southern,Southwest
-1425945600,Columbia,Williams,FBS Independents,
-1425945600,Colgate,Hobart College,FBS Independents,
-1425945600,Baylor,Austin,Southwest,
-1425945600,Arkansas,Ole Miss,Southwest,Southern
-1425945600,VMI,NC State,Southern,Southern
-1425945600,Denver,Utah State,Rocky Mountain,Rocky Mountain
-1425945600,Illinois,Depauw,Western,
-1425945600,Lafayette,Washington & Jefferson,,FBS Independents
-1425945600,Montana Tech,Montana,,Pacific
-1425945600,Scout Fleet,Newberry,,FBS Independents
-1425945600,Northwestern,Michigan State,Western,
-1425945600,Oglethorpe,Loyola (LA),FBS Independents,
-1425945600,Oklahoma State,Phillips,Southwest,
-1425945600,Yale,Brown,FBS Independents,FBS Independents
-1425945600,Wyoming,Colorado,Rocky Mountain,Rocky Mountain
-1425945600,Michigan,Wisconsin,Western,Western
-1425945600,Army,Boston University,FBS Independents,FBS Independents
-1425945600,North Carolina,Maryland,Southern,Southern
-1425945600,Auburn,LSU,Southern,Southern
-1425945600,California,Washington State,Pacific,Pacific
-1425945600,Drake,Oklahoma,Missouri Valley,Missouri Valley
-1425945600,Vanderbilt,Georgia,Southern,Southern
-1425945600,Kentucky,Sewanee,Southern,Southern
-1425945600,Pittsburgh,Carnegie Mellon,FBS Independents,FBS Independents
-1425945600,Chicago,Ohio State,Western,Western
-1425945600,The Citadel,Furman,FBS Independents,FBS Independents
-1425945600,Northern Colorado,Montana State,Rocky Mountain,Rocky Mountain
-1425945600,Harvard,Dartmouth,FBS Independents,FBS Independents
-1425945600,Oregon,Whitman,Pacific,FBS Independents
-1425945600,Mississippi College,Birmingham-Southern,FBS Independents,FBS Independents
-1425600000,South Carolina,The Citadel,Southern,FBS Independents
-1425340800,Colorado,Utah,Rocky Mountain,Rocky Mountain
-1425340800,Minnesota,Michigan,Western,Western
-1425340800,Harvard,Boston University,FBS Independents,FBS Independents
-1425340800,Stanford,Santa Clara,Pacific,
-1425340800,Washington & Jefferson,Detroit Mercy,FBS Independents,
-1425340800,Wake Forest,Guilford College,FBS Independents,
-1425340800,Samford,Spring Hill,FBS Independents,
-1425340800,Erskine,Parris Island Marines,FBS Independents,
-1425340800,Oklahoma State,Oklahoma,Southwest,Missouri Valley
-1425340800,Oglethorpe,Sewanee,FBS Independents,Southern
-1425340800,Notre Dame,Georgia Tech,FBS Independents,Southern
-1425340800,Northern Colorado,Regis (CO),Rocky Mountain,FBS Independents
-1425340800,Richmond,St. John's (Maryland),FBS Independents,
-1425340800,Princeton,Swarthmore,FBS Independents,
-1425340800,Union (Tennessee),Chattanooga,,FBS Independents
-1425340800,Millsaps,Rhodes College,FBS Independents,
-1425340800,Pittsburgh,Syracuse,FBS Independents,FBS Independents
-1425340800,Rice,Texas,Southwest,Southwest
-1425340800,Chicago,Purdue,Western,Western
-1425340800,West Virginia,Bethany (WV),FBS Independents,
-1425340800,California,USC,Pacific,Pacific
-1425340800,Army,Yale,FBS Independents,FBS Independents
-1425340800,Alabama,Ole Miss,Southern,Southern
-1425340800,Carnegie Mellon,McDaniel,FBS Independents,
-1425340800,Kentucky,Centre College Kentucky,Southern,FBS Independents
-1425340800,Colgate,Providence,FBS Independents,
-1425340800,Florida,Florida Southern,Southern,
-1425340800,Furman,Georgetown,FBS Independents,
